id,name,time,text
4685952515834046,烏栗卡七,Mon Sep 27 08:13:22 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 休完产假上班一个月了 感觉力不从心
4685716321736464,范范不是饭T,Sun Sep 26 16:34:50 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
？？？？
一边鼓励妇女多生，一边鼓励独立女性，职场女性，好家伙，一人劈成三个用呗"
4685952264439649,赞赞与歆_,Mon Sep 27 08:12:23 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
？？？？21世纪了还有这么不正规的公司吗？五险一金不是白交的啊～"
4685828356572220,36氪,Mon Sep 27 00:00:00 +0800 2021,"【#氪星播报# | 9月26日晚间都有哪些#今日大事件#？】
Top3大新闻
1、#辽宁电力供应缺口增至严重级别#，将尽最大可能避免拉闸限电
2、#一辆车绑定100多个手机号#，停车一小时仅需两毛钱
3、自信女孩最美：#女大学生大方介绍父母收废品的#

科技财经互联网热点
1、#华为轮值董事长回应为何不造车#：“越是人人都造车的时候，越要冷静”
2、#苹果确认部分iPhone13存在bug#，网友晒#iPhone13拍照有马赛克#
3、破坏看视频需下载爱奇艺客户端限制，#爱奇艺起诉破解其会员公司获赔21万#

还有哪些其他要闻
1、#北京将禁止携带电动代步工具乘地铁#：电动代步工具易引起火灾
2、#保洁捡走23万玉镯失主被迫用1万感谢金要回#，当事人：物业竟没有把她辞退
3、#河南老人和学生可用纸质健康码#，没有智能手机也能用健康码
4、#樊振东夺得全运会男单冠军#
5、#女子怀孕七个月被公司称没产假劝退#，公司：外编人员没有产假
6、#中疾控专家认为厦门疫情已进入拖尾期#，感染源来自于集中隔离人员
7、#女孩刮到男生车双方划拳私了#，网友：缘分就这样来了
8、#超市老板娘为晚归女孩留灯10年# ：亮到凌晨2点，还会护送胆小女孩
9、#我国成功从美国追索12件文物艺术品#，文物艺术品划拨西藏博物馆
10、#民警用奶茶换下女孩手中菜刀#"
4685836778472833,幽灵便车客,Mon Sep 27 00:33:29 +0800 2021,#女子怀孕七个月被公司称没产假劝退#开放三胎，就还蛮好笑的
4685951748804788,爱在路上-kyx,Mon Sep 27 08:10:20 +0800 2021,#女子怀孕七个月被公司称没产假劝退#现在工作越来越难找了，没生育的担心你上班以后要生孩子，有孩子了要问你孩子多大了，防着你生二胎，女人真难 杭州·新街
4685951748804788,爱在路上-kyx,Mon Sep 27 08:10:20 +0800 2021,#女子怀孕七个月被公司称没产假劝退#现在工作越来越难找了，没生育的担心你上班以后要生孩子，有孩子了要问你孩子多大了，防着你生二胎，女人真难 杭州·新街
4685939215435797,数码零零七,Mon Sep 27 07:20:32 +0800 2021,#女子怀孕七个月被公司称没产假劝退#国家鼓励多生，公司希望别休产假，这就是如今的矛盾点
4685951308139658,金刚阿童,Mon Sep 27 08:08:35 +0800 2021,#女子怀孕七个月被公司称没产假劝退#魔幻但也现实
4685812225278909,C仔清纯lsp版,Sun Sep 26 22:55:55 +0800 2021,#女子怀孕七个月被公司称没产假劝退#笑死了 政策是要女人生三胎 对策是女人怀孕即辞退 妙啊
4685757426434233,滴嗒嗒转悠,Sun Sep 26 19:18:09 +0800 2021,#女子怀孕七个月被公司称没产假劝退#真是好笑，不停地宣传二胎，宣传开放三胎，弄个离婚冷静期，却从没有在根本上去解决过问题。不知道是没体察过民情还是只需要数据表面上好看就可以
4685792553730297,San海经,Sun Sep 26 21:37:44 +0800 2021,#女子怀孕七个月被公司称没产假劝退#要想真正的保护女性 对这种公司就应该有政策狠狠罚 罚的他们知道疼 疼的深入骨髓 就会老实
4685951140366210,崇礼推土机,Mon Sep 27 08:07:55 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 事业单位都很多不愿意要女生更别提干活才给钱的企业了！那些说不干活还得白养你一年的你不仅是不识数不知道产假在北京只有128天，而且你不是妈生娘养的么？你妈生你时候就生那一天在医院么？你没有老婆孩子么？如果你是这样的人希望你以后千万别有老婆孩子！开放三胎政策是需要国家和企业一起努力的.但是当生存都是问题的时候 就不可避免的推动不下去这个政策 希望国家健全制度，产假延长到一年！男性职工交的生育保险好好都用在孕妈身上！
4685738195291733,甜橘小妖娆,Sun Sep 26 18:01:45 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
一天天说什么三胎政策 其他硬件根本没跟上结局最后还是女性买单 承担后果。
国家还给给那些婆婆 七大姑八大姨催生保驾护航而且你告诉公司说你不生孩子 公司敢信吗？你就直接发文 女的全部回家生孩子 不就好了"
4685948392572946,摩卡不卡拿铁不铁,Mon Sep 27 07:57:00 +0800 2021,#女子怀孕七个月被公司称没产假劝退#这才是真实的世界，一胎都没人给你保障。
4685947989918728,司可比巴妥,Mon Sep 27 07:55:24 +0800 2021,#女子怀孕七个月被公司称没产假劝退##专家建议放开三胎##男子猥亵15岁干女儿被拘8天# 生呗
4685944916281481,安康政法,Mon Sep 27 07:43:11 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 尽管越来越多的女性权益逐步受到法律保护，但仍有女性正在遭受家庭暴力，在就业中遭遇性别歧视……妇女能顶半边天，了解合法权益↓
4685817223843728,我是你的痱子粉吧,Sun Sep 26 23:15:47 +0800 2021,#女子怀孕七个月被公司称没产假劝退#不结婚保平安
